1 75.199 37.902
2 73.943 21.472
3 74.028 7.3968
4 33.666 78.442
5 39.011 33.272
6 61.837 31.703
7 16.87 16.354
8 99.58 32.862
9 62.252 56.435
10 60.783 5.0875
11 63.509 90.115
12 14.209 23.459
13 57.583 27.445
14 97.028 82.889
15 64.064 20.689
16 76.89 27.376
17 95.08 12.893
18 75.965 51.528
19 8.1785 17.264
20 72.746 78.859
21 44.421 94.306
22 71.213 0.059032
23 69.11 44.56
24 19.102 85.899
25 59.138 22.799
26 10.118 47.841
27 39.115 39.324
28 30.343 13.552
29 0.61216 54.629
30 19.657 60.467
31 35.737 44.015
32 54.239 66.169
33 71 93.579
34 19.46 95.276
35 16.287 36.836
36 96.355 0.86553
37 22.631 63.632
38 0.56214 97.613
39 49.516 29.44
40 76.682 23.146
41 1.3892 79.005
42 65.102 20.02
43 48.869 76.876
44 39.928 4.3723
45 96.935 90.749
46 80.548 18.079
47 59.116 91.98
48 54.229 72.747
49 70.705 8.2332
50 68.951 9.8954
51 51.774 0.59002
52 73.482 99.925
53 46.493 63.876
54 39.223 21.396
55 10.258 20.663
56 43.588 35.855
57 77.153 13.603
58 65.911 87.002
59 34.391 28.267
60 9.346 40.345
61 54.252 76.2
62 87.2 20.654
63 93.952 39.254
64 51.573 52.653
65 58.761 17.335
66 68.479 2.6753
67 47.08 8.4308
68 91.482 1.0677
69 76.798 87.886
70 47.491 60.727
71 67.117 8.934
72 35.385 92.921
73 80.94 68.489
74 95.658 92.595
75 24.968 18.943
76 59.405 76.417
77 42.305 98.106
78 78.247 64.758
79 59.675 56.201
80 99.97 29.377
81 6.3904 6.3877
82 18.717 94.073
83 10.3 86.555
84 88.106 91.185
85 33.188 12.134
86 98.925 46.475
87 6.228 51.124
88 15.887 8.8761
89 91.325 27.023
90 16.843 31.631
91 99.664 2.3618
92 82.27 51.319
93 72.95 58.332
94 7.7328 41.24
95 37.83 21.988
96 84.171 46.435
97 48.76 27.51
98 89.147 40.927
99 11.832 26.521
100 72.491 31.37
